Vuosi_code,Vuosi_label,"Sähkön tuotanto ja kulutus, GWh_code","Sähkön tuotanto ja kulutus, GWh_label",Tiedot_code,Tiedot_label,value
2000,2000,14,Muut uusiutuvat (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0.2
2000,2000,14,Muut uusiutuvat (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0.2
2000,2000,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,arvogwh,"Määrä, GWh",8159
2000,2000,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,vv_muutos,Vuosimuutos %,
2000,2000,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,10.3
2000,2000,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",12.1
2000,2000,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,arvogwh,"Määrä, GWh",22690
2000,2000,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,vv_muutos,Vuosimuutos %,
2000,2000,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,28.7
2000,2000,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",33.7
2000,2000,17,Muut energialähteet,arvogwh,"Määrä, GWh",241
2000,2000,17,Muut energialähteet,vv_muutos,Vuosimuutos %,
2000,2000,17,Muut energialähteet,osuuskk,Osuus kokonaiskulutuksesta %,0.3
2000,2000,17,Muut energialähteet,osuuskt,"Osuus kokonaistuotannosta, %",0.4
2000,2000,18,SÄHKÖN TUOTANTO YHTEENSÄ,arvogwh,"Määrä, GWh",67289
2000,2000,18,SÄHKÖN TUOTANTO YHTEENSÄ,vv_muutos,Vuosimuutos %,
2000,2000,18,SÄHKÖN TUOTANTO YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,85
2000,2000,18,SÄHKÖN TUOTANTO YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",100
2000,2000,19,Sähkön nettotuonti,arvogwh,"Määrä, GWh",11880
2000,2000,19,Sähkön nettotuonti,vv_muutos,Vuosimuutos %,
