Vuosi,"Sähkön tuotanto ja kulutus, GWh",Tiedot,value
2004,Turve,Vuosimuutos %,-10.4
2004,Turve,Osuus kokonaiskulutuksesta %,7
2004,Turve,"Osuus kokonaistuotannosta, %",7.4
2004,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",35167
2004,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,-11.7
2004,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,40.4
2004,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",42.8
2004,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",14865
2004,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,57.2
2004,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,17.1
2004,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",18.1
2004,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",120
2004,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,30.4
2004,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.1
2004,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.1
2004,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",2
2004,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,0
2004,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2004,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2004,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",5778
2004,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,10
2004,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,6.6
2004,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",7
2004,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",3815
2004,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,13.7
2004,Muut puupolttoaineet (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,4.4
2004,Muut puupolttoaineet (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",4.6
2004,Muut uusiutuvat (Uusiutuva energialähde),"Määrä, GWh",259
2004,Muut uusiutuvat (Uusiutuva energialähde),Vuosimuutos %,18.3
2004,Muut uusiutuvat (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.3
2004,Muut uusiutuvat (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.3
2004,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Määrä, GWh",9852
2004,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Vuosimuutos %,11.6
2004,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,11.3
2004,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",12
2004,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Määrä, GWh",24840
2004,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Vuosimuutos %,35.2
2004,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,28.5
2004,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",30.2
2004,Muut energialähteet,"Määrä, GWh",366
2004,Muut energialähteet,Vuosimuutos %,1.4
2004,Muut energialähteet,Osuus kokonaiskulutuksesta %,0.4
2004,Muut energialähteet,"Osuus kokonaistuotannosta, %",0.4
2004,SÄHKÖN TUOTANTO YHTEENSÄ,"Määrä, GWh",82187
2004,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,2.2
2004,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,94.4
2004,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2004,Sähkön nettotuonti,"Määrä, GWh",4870
2004,Sähkön nettotuonti,Vuosimuutos %,0.4
2004,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,5.6
2004,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2004,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",87057
2004,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,2.1
2004,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2004,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2005,YDINVOIMA,"Määrä, GWh",22356
2005,YDINVOIMA,Vuosimuutos %,2.5
2005,YDINVOIMA,Osuus kokonaiskulutuksesta %,26.4
2005,YDINVOIMA,"Osuus kokonaistuotannosta, %",33
2005,Öljy (Fossiilinen polttoaine),"Määrä, GWh",452
2005,Öljy (Fossiilinen polttoaine),Vuosimuutos %,-20.4
2005,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.5
2005,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.7
2005,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",6069
2005,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,-60.6
2005,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,7.2
2005,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",9
2005,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",10896
2005,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,-11.9
2005,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,12.9
2005,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",16.1
2005,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",780
2005,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,11.7
2005,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.9
2005,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1.2
2005,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",18197
2005,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,-37.4
2005,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,21.5
2005,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",26.9
2005,Turve,"Määrä, GWh",4208
2005,Turve,Vuosimuutos %,-31.2
2005,Turve,Osuus kokonaiskulutuksesta %,5
2005,Turve,"Osuus kokonaistuotannosta, %",6.2
2005,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",22405
2005,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,-36.3
2005,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,26.5
2005,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",33.1
2005,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",13428
2005,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,-9.7
2005,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,15.9
2005,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",19.8
2005,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",168
2005,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,40
2005,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.2
2005,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.2
2005,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",3
2005,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,50
2005,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2005,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2005,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",5060
2005,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,-12.4
2005,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,6
2005,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",7.5
2005,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",3643
2005,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,-4.5
2005,Muut puupolttoaineet (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,4.3
2005,Muut puupolttoaineet (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",5.4
2005,Muut uusiutuvat (Uusiutuva energialähde),"Määrä, GWh",302
2005,Muut uusiutuvat (Uusiutuva energialähde),Vuosimuutos %,16.6
2005,Muut uusiutuvat (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.4
2005,Muut uusiutuvat (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.4
2005,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Määrä, GWh",9006
2005,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Vuosimuutos %,-8.6
2005,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,10.6
2005,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",13.3
2005,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Määrä, GWh",22605
2005,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Vuosimuutos %,-9
2005,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,26.7
2005,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",33.4
2005,Muut energialähteet,"Määrä, GWh",305
2005,Muut energialähteet,Vuosimuutos %,-16.7
2005,Muut energialähteet,Osuus kokonaiskulutuksesta %,0.4
2005,Muut energialähteet,"Osuus kokonaistuotannosta, %",0.5
2005,SÄHKÖN TUOTANTO YHTEENSÄ,"Määrä, GWh",67670
2005,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,-17.7
2005,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,79.9
2005,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2005,Sähkön nettotuonti,"Määrä, GWh",17014
2005,Sähkön nettotuonti,Vuosimuutos %,249.4
2005,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,20.1
2005,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2005,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",84684
2005,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,-2.7
2005,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2005,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2006,YDINVOIMA,"Määrä, GWh",22004
2006,YDINVOIMA,Vuosimuutos %,-1.6
2006,YDINVOIMA,Osuus kokonaiskulutuksesta %,24.4
2006,YDINVOIMA,"Osuus kokonaistuotannosta, %",28
2006,Öljy (Fossiilinen polttoaine),"Määrä, GWh",439
2006,Öljy (Fossiilinen polttoaine),Vuosimuutos %,-2.9
2006,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.5
2006,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.6
2006,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",15212
2006,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,150.7
2006,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,16.9
2006,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",19.3
2006,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",11941
2006,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,9.6
2006,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,13.3
2006,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",15.2
2006,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",758
2006,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,-2.8
2006,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.8
2006,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1
2006,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",28350
2006,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,55.8
2006,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,31.5
2006,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",36
2006,Turve,"Määrä, GWh",6209
2006,Turve,Vuosimuutos %,47.6
2006,Turve,Osuus kokonaiskulutuksesta %,6.9
2006,Turve,"Osuus kokonaistuotannosta, %",7.9
2006,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",34559
2006,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,54.2
2006,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,38.4
2006,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",43.9
2006,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",11313
2006,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,-15.8
2006,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,12.6
2006,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",14.4
2006,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",153
2006,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,-8.9
2006,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.2
2006,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.2
2006,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",3
2006,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,0
2006,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2006,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2006,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",5901
2006,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,16.6
2006,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,6.6
2006,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",7.5
2006,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",4056
2006,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,11.3
2006,Muut puupolttoaineet (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,4.5
2006,Muut puupolttoaineet (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",5.2
2006,Muut uusiutuvat (Uusiutuva energialähde),"Määrä, GWh",263
2006,Muut uusiutuvat (Uusiutuva energialähde),Vuosimuutos %,-12.9
2006,Muut uusiutuvat (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.3
2006,Muut uusiutuvat (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.3
2006,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Määrä, GWh",10219
2006,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Vuosimuutos %,13.5
2006,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,11.3
2006,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",13
2006,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Määrä, GWh",21688
2006,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Vuosimuutos %,-4.1
2006,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,24.1
2006,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",27.6
2006,Muut energialähteet,"Määrä, GWh",391
2006,Muut energialähteet,Vuosimuutos %,28.2
2006,Muut energialähteet,Osuus kokonaiskulutuksesta %,0.4
2006,Muut energialähteet,"Osuus kokonaistuotannosta, %",0.5
2006,SÄHKÖN TUOTANTO YHTEENSÄ,"Määrä, GWh",78641
2006,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,16.2
2006,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,87.3
2006,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2006,Sähkön nettotuonti,"Määrä, GWh",11401
2006,Sähkön nettotuonti,Vuosimuutos %,-33
2006,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,12.7
2006,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2006,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",90042
2006,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,6.3
2006,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2006,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2007,YDINVOIMA,"Määrä, GWh",22501
2007,YDINVOIMA,Vuosimuutos %,2.3
2007,YDINVOIMA,Osuus kokonaiskulutuksesta %,24.9
2007,YDINVOIMA,"Osuus kokonaistuotannosta, %",28.9
2007,Öljy (Fossiilinen polttoaine),"Määrä, GWh",431
2007,Öljy (Fossiilinen polttoaine),Vuosimuutos %,-1.8
2007,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.5
2007,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.6
2007,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",12974
2007,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,-14.7
2007,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,14.4
2007,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",16.7
2007,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",10250
2007,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,-14.2
2007,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,11.3
2007,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",13.2
2007,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",802
2007,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,5.8
2007,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.9
2007,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1
2007,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",24458
2007,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,-13.7
2007,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,27.1
2007,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",31.4
2007,Turve,"Määrä, GWh",6925
2007,Turve,Vuosimuutos %,11.5
2007,Turve,Osuus kokonaiskulutuksesta %,7.7
2007,Turve,"Osuus kokonaistuotannosta, %",8.9
2007,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",31382
2007,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,-9.2
2007,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,34.7
2007,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",40.3
2007,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",13991
2007,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,23.7
2007,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,15.5
2007,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",18
2007,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",188
2007,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,22.9
2007,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.2
2007,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.2
2007,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",4
2007,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,33.3
2007,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2007,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2007,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",5711
2007,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,-3.2
2007,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,6.3
2007,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",7.3
2007,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",3393
2007,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,-16.3
2007,Muut puupolttoaineet (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,3.8
2007,Muut puupolttoaineet (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",4.4
2007,Muut uusiutuvat (Uusiutuva energialähde),"Määrä, GWh",328
2007,Muut uusiutuvat (Uusiutuva energialähde),Vuosimuutos %,24.7
2007,Muut uusiutuvat (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.4
2007,Muut uusiutuvat (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.4
2007,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Määrä, GWh",9432
2007,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Vuosimuutos %,-7.7
2007,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,10.4
2007,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",12.1
2007,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Määrä, GWh",23614
2007,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Vuosimuutos %,8.9
2007,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,26.1
2007,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",30.3
2007,Muut energialähteet,"Määrä, GWh",333
2007,Muut energialähteet,Vuosimuutos %,-14.8
2007,Muut energialähteet,Osuus kokonaiskulutuksesta %,0.4
2007,Muut energialähteet,"Osuus kokonaistuotannosta, %",0.4
2007,SÄHKÖN TUOTANTO YHTEENSÄ,"Määrä, GWh",77831
2007,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,-1
2007,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,86.1
2007,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2007,Sähkön nettotuonti,"Määrä, GWh",12557
2007,Sähkön nettotuonti,Vuosimuutos %,10.1
2007,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,13.9
2007,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2007,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",90388
2007,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,0.4
2007,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2007,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2008,YDINVOIMA,"Määrä, GWh",22050
2008,YDINVOIMA,Vuosimuutos %,-2
2008,YDINVOIMA,Osuus kokonaiskulutuksesta %,25.3
2008,YDINVOIMA,"Osuus kokonaistuotannosta, %",29.6
2008,Öljy (Fossiilinen polttoaine),"Määrä, GWh",617
2008,Öljy (Fossiilinen polttoaine),Vuosimuutos %,43.2
2008,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.7
2008,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.8
2008,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",7956
2008,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,-38.7
2008,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,9.1
2008,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",10.7
2008,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",10722
2008,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,4.6
2008,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,12.3
2008,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",14.4
2008,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",753
2008,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,-6.1
2008,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.9
2008,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1
2008,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",20048
2008,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,-18
2008,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,23
2008,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",26.9
2008,Turve,"Määrä, GWh",4929
2008,Turve,Vuosimuutos %,-28.8
2008,Turve,Osuus kokonaiskulutuksesta %,5.6
2008,Turve,"Osuus kokonaistuotannosta, %",6.6
2008,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",24977
2008,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,-20.4
2008,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,28.6
2008,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",33.5
2008,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",16909
2008,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,20.9
2008,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,19.4
2008,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",22.7
2008,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",261
2008,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,38.8
2008,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.3
2008,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.3
2008,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",4
2008,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,0
2008,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2008,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2008,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",5312
2008,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,-7
2008,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,6.1
2008,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",7.1
2008,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",4200
2008,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,23.8
