Vuosi,"Sähkön tuotanto ja kulutus, GWh",Tiedot,value
2000,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,
2000,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,85
2000,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2000,Sähkön nettotuonti,"Määrä, GWh",11880
2000,Sähkön nettotuonti,Vuosimuutos %,
2000,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,15
2000,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2000,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",79169
2000,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,
2000,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2000,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2001,YDINVOIMA,"Määrä, GWh",21854
2001,YDINVOIMA,Vuosimuutos %,1.3
2001,YDINVOIMA,Osuus kokonaiskulutuksesta %,26.9
2001,YDINVOIMA,"Osuus kokonaistuotannosta, %",30.7
2001,Öljy (Fossiilinen polttoaine),"Määrä, GWh",610
2001,Öljy (Fossiilinen polttoaine),Vuosimuutos %,12.8
2001,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.8
2001,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.9
2001,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",9944
2001,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,24.7
2001,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,12.2
2001,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",14
2001,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",11182
2001,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,13.5
2001,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,13.8
2001,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",15.7
2001,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",717
2001,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,-0.8
2001,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.9
2001,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1
2001,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",22453
2001,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,17.6
2001,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,27.7
2001,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",31.5
2001,Turve,"Määrä, GWh",5797
2001,Turve,Vuosimuutos %,57.1
2001,Turve,Osuus kokonaiskulutuksesta %,7.1
2001,Turve,"Osuus kokonaistuotannosta, %",8.1
2001,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",28249
2001,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,24
2001,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,34.8
2001,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",39.7
2001,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",13018
2001,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,-9.9
2001,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,16
2001,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",18.3
2001,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",70
2001,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,-9.1
2001,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.1
2001,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.1
2001,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",2
2001,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,0
2001,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2001,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2001,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",4765
2001,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,-7.1
2001,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,5.9
2001,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",6.7
2001,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",2863
2001,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,-1.3
2001,Muut puupolttoaineet (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,3.5
2001,Muut puupolttoaineet (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",4
2001,Muut uusiutuvat (Uusiutuva energialähde),"Määrä, GWh",174
2001,Muut uusiutuvat (Uusiutuva energialähde),Vuosimuutos %,30.8
2001,Muut uusiutuvat (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.2
2001,Muut uusiutuvat (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.2
2001,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Määrä, GWh",7801
2001,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Vuosimuutos %,-4.4
2001,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,9.6
2001,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",11
2001,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Määrä, GWh",20891
2001,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Vuosimuutos %,-7.9
2001,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,25.7
2001,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",29.3
2001,Muut energialähteet,"Määrä, GWh",244
2001,Muut energialähteet,Vuosimuutos %,1.2
2001,Muut energialähteet,Osuus kokonaiskulutuksesta %,0.3
2001,Muut energialähteet,"Osuus kokonaistuotannosta, %",0.3
2001,SÄHKÖN TUOTANTO YHTEENSÄ,"Määrä, GWh",71238
2001,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,5.9
2001,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,87.7
2001,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2001,Sähkön nettotuonti,"Määrä, GWh",9959
2001,Sähkön nettotuonti,Vuosimuutos %,-16.2
2001,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,12.3
2001,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2001,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",81197
2001,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,2.6
2001,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2001,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2002,YDINVOIMA,"Määrä, GWh",21395
2002,YDINVOIMA,Vuosimuutos %,-2.1
2002,YDINVOIMA,Osuus kokonaiskulutuksesta %,25.6
2002,YDINVOIMA,"Osuus kokonaistuotannosta, %",29.9
2002,Öljy (Fossiilinen polttoaine),"Määrä, GWh",836
2002,Öljy (Fossiilinen polttoaine),Vuosimuutos %,37
2002,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,1
2002,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1.2
2002,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",11837
2002,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,19
2002,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,14.2
2002,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",16.5
2002,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",11274
2002,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,0.8
2002,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,13.5
2002,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",15.7
2002,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",715
